期号,正码1,正码2,正码3,正码4,正码5,正码6,特码,生肖,波色,大小,单双,开奖时间,正码1生肖,正码2生肖,正码3生肖,正码4生肖,正码5生肖,正码6生肖
20260816001,31,34,9,43,7,29,47,猴,蓝波,大,单,2026-08-16 00:00:00,鼠,鸡,狗,鼠,鼠,虎
20260816002,36,46,29,18,38,47,31,鼠,蓝波,大,单,2026-08-16 00:03:00,羊,鸡,虎,牛,蛇,猴
20260816003,7,3,18,48,5,4,12,羊,红波,小,双,2026-08-16 00:06:00,鼠,龙,牛,羊,虎,兔
20260816004,7,12,36,37,15,33,39,龙,绿波,大,单,2026-08-16 00:09:00,鼠,羊,羊,马,龙,狗
20260816005,13,18,6,7,20,23,15,龙,蓝波,小,单,2026-08-16 00:12:00,马,牛,牛,鼠,猪,猴
20260816006,38,39,8,24,47,5,40,兔,红波,大,双,2026-08-16 00:15:00,蛇,龙,猪,羊,猴,虎
20260816007,31,45,14,33,11,34,9,狗,蓝波,小,单,2026-08-16 00:18:00,鼠,狗,蛇,狗,猴,鸡
20260816008,13,7,44,11,22,4,20,猪,蓝波,小,双,2026-08-16 00:21:00,马,鼠,猪,猴,鸡,兔
20260816009,29,49,6,5,48,8,24,羊,红波,小,双,2026-08-16 00:24:00,虎,马,牛,虎,羊,猪
20260816010,9,13,34,29,49,25,17,虎,绿波,小,单,2026-08-16 00:27:00,狗,马,鸡,虎,马,马
20260816011,2,16,5,34,30,29,41,虎,蓝波,大,单,2026-08-16 00:30:00,蛇,兔,虎,鸡,牛,虎
20260816012,42,12,7,9,23,25,6,牛,绿波,小,双,2026-08-16 00:33:00,牛,羊,鼠,狗,猴,马
20260816013,16,30,48,26,33,36,25,马,蓝波,大,单,2026-08-16 00:36:00,兔,牛,羊,蛇,狗,羊
20260816014,49,22,43,31,6,28,35,猴,红波,大,单,2026-08-16 00:39:00,马,鸡,鼠,鼠,牛,兔
20260816015,11,29,33,45,26,21,8,猪,红波,小,双,2026-08-16 00:42:00,猴,虎,狗,狗,蛇,狗
20260816016,22,46,12,7,20,6,15,龙,蓝波,小,单,2026-08-16 00:45:00,鸡,鸡,羊,鼠,猪,牛
20260816017,49,2,48,3,39,9,33,狗,绿波,大,单,2026-08-16 00:48:00,马,蛇,羊,龙,龙,狗
20260816018,42,20,13,26,44,30,29,虎,红波,大,单,2026-08-16 00:51:00,牛,猪,马,蛇,猪,牛
20260816019,17,18,10,41,4,47,28,兔,绿波,大,双,2026-08-16 00:54:00,虎,牛,鸡,虎,兔,猴
20260816020,25,13,10,43,1,37,24,羊,红波,小,双,2026-08-16 00:57:00,马,马,鸡,鼠,马,马
20260816021,20,28,2,44,26,13,17,虎,绿波,小,单,2026-08-16 01:00:00,猪,兔,蛇,猪,蛇,马
20260816022,31,30,29,13,41,5,3,龙,蓝波,小,单,2026-08-16 01:03:00,鼠,牛,虎,马,虎,虎
20260816023,20,43,7,23,35,46,44,猪,绿波,大,双,2026-08-16 01:06:00,猪,鼠,鼠,猴,猴,鸡
20260816024,20,3,34,12,38,47,22,鸡,绿波,小,双,2026-08-16 01:09:00,猪,龙,鸡,羊,蛇,猴
20260816025,20,16,30,3,43,29,42,牛,蓝波,大,双,2026-08-16 01:12:00,猪,兔,牛,龙,鼠,虎
20260816026,33,34,15,3,19,35,41,虎,蓝波,大,单,2026-08-16 01:15:00,狗,鸡,龙,龙,鼠,猴
20260816027,42,11,28,18,2,14,39,龙,绿波,大,单,2026-08-16 01:18:00,牛,猴,兔,牛,蛇,蛇
20260816028,14,13,16,7,39,3,47,猴,蓝波,大,单,2026-08-16 01:21:00,蛇,马,兔,鼠,龙,龙
20260816029,17,26,35,14,48,44,15,龙,蓝波,小,单,2026-08-16 01:24:00,虎,蛇,猴,蛇,羊,猪
20260816030,21,10,20,15,35,8,47,猴,蓝波,大,单,2026-08-16 01:27:00,狗,鸡,猪,龙,猴,猪
20260816031,36,18,44,34,28,46,38,蛇,绿波,大,双,2026-08-16 01:30:00,羊,牛,猪,鸡,兔,鸡
20260816032,32,25,13,40,45,24,9,狗,蓝波,小,单,2026-08-16 01:33:00,猪,马,马,兔,狗,羊
20260816033,17,43,21,25,20,35,16,兔,绿波,小,双,2026-08-16 01:36:00,虎,鼠,狗,马,猪,猴
20260816034,6,39,37,41,1,3,33,狗,绿波,大,单,2026-08-16 01:39:00,牛,龙,马,虎,马,龙
20260816035,11,2,39,17,38,42,5,虎,绿波,小,单,2026-08-16 01:42:00,猴,蛇,龙,虎,蛇,牛
20260816036,13,14,10,48,6,49,36,羊,蓝波,大,双,2026-08-16 01:45:00,马,蛇,鸡,羊,牛,马
20260816037,32,25,21,10,28,9,6,牛,绿波,小,双,2026-08-16 01:48:00,猪,马,狗,鸡,兔,狗
20260816038,35,14,42,26,13,23,20,猪,蓝波,小,双,2026-08-16 01:51:00,猴,蛇,牛,蛇,马,猴
20260816039,30,12,36,33,39,10,24,羊,红波,小,双,2026-08-16 01:54:00,牛,羊,羊,狗,龙,鸡
20260816040,16,47,14,20,4,5,1,马,红波,小,单,2026-08-16 01:57:00,兔,猴,蛇,猪,兔,虎
20260816041,21,3,10,48,28,33,30,牛,红波,大,双,2026-08-16 02:00:00,狗,龙,鸡,羊,兔,狗
20260816042,6,14,39,27,21,22,31,鼠,蓝波,大,单,2026-08-16 02:03:00,牛,蛇,龙,龙,狗,鸡
20260816043,25,20,49,19,43,40,31,鼠,蓝波,大,单,2026-08-16 02:06:00,马,猪,马,鼠,鼠,兔
20260816044,25,11,14,9,2,34,38,蛇,绿波,大,双,2026-08-16 02:09:00,马,猴,蛇,狗,蛇,鸡
20260816045,5,14,48,41,18,13,10,鸡,蓝波,小,双,2026-08-16 02:12:00,虎,蛇,羊,虎,牛,马
20260816046,43,7,23,8,49,46,31,鼠,蓝波,大,单,2026-08-16 02:15:00,鼠,鼠,猴,猪,马,鸡
20260816047,1,9,40,35,7,49,37,马,蓝波,大,单,2026-08-16 02:18:00,马,狗,兔,猴,鼠,马
20260816048,18,26,23,9,6,38,20,猪,蓝波,小,双,2026-08-16 02:21:00,牛,蛇,猴,狗,牛,蛇
20260816049,32,8,41,17,12,5,9,狗,蓝波,小,单,2026-08-16 02:24:00,猪,猪,虎,虎,羊,虎
20260816050,29,6,23,21,25,9,19,鼠,红波,小,单,2026-08-16 02:27:00,虎,牛,猴,狗,马,狗
20260816051,18,25,28,6,32,1,38,蛇,绿波,大,双,2026-08-16 02:30:00,牛,马,兔,牛,猪,马
20260816052,6,12,1,33,41,10,7,鼠,红波,小,单,2026-08-16 02:33:00,牛,羊,马,狗,虎,鸡
20260816053,13,24,41,34,43,46,15,龙,蓝波,小,单,2026-08-16 02:36:00,马,羊,虎,鸡,鼠,鸡
20260816054,14,11,26,13,41,5,9,狗,蓝波,小,单,2026-08-16 02:39:00,蛇,猴,蛇,马,虎,虎
20260816055,49,41,35,47,25,11,2,蛇,红波,小,双,2026-08-16 02:42:00,马,虎,猴,猴,马,猴
20260816056,15,22,13,41,2,29,7,鼠,红波,小,单,2026-08-16 02:45:00,龙,鸡,马,虎,蛇,虎
20260816057,35,47,16,14,38,19,21,狗,绿波,小,单,2026-08-16 02:48:00,猴,猴,兔,蛇,蛇,鼠
20260816058,48,36,34,16,41,39,27,龙,绿波,大,单,2026-08-16 02:51:00,羊,羊,鸡,兔,虎,龙
20260816059,5,6,7,16,42,11,18,牛,红波,小,双,2026-08-16 02:54:00,虎,牛,鼠,兔,牛,猴
20260816060,30,39,37,44,5,24,43,鼠,绿波,大,单,2026-08-16 02:57:00,牛,龙,马,猪,虎,羊
20260816061,26,15,46,38,29,28,35,猴,红波,大,单,2026-08-16 03:00:00,蛇,龙,鸡,蛇,虎,兔
20260816062,18,33,19,44,22,36,5,虎,绿波,小,单,2026-08-16 03:03:00,牛,狗,鼠,猪,鸡,羊
20260816063,27,14,29,47,26,5,20,猪,蓝波,小,双,2026-08-16 03:06:00,龙,蛇,虎,猴,蛇,虎
20260816064,30,14,43,47,21,32,24,羊,红波,小,双,2026-08-16 03:09:00,牛,蛇,鼠,猴,狗,猪
20260816065,27,33,5,38,1,41,2,蛇,红波,小,双,2026-08-16 03:12:00,龙,狗,虎,蛇,马,虎
20260816066,28,32,20,1,41,21,48,羊,蓝波,大,双,2026-08-16 03:15:00,兔,猪,猪,马,虎,狗
20260816067,2,3,26,30,46,27,35,猴,红波,大,单,2026-08-16 03:18:00,蛇,龙,蛇,牛,鸡,龙
20260816068,34,40,32,41,10,26,29,虎,红波,大,单,2026-08-16 03:21:00,鸡,兔,猪,虎,鸡,蛇
20260816069,39,3,18,32,34,45,13,马,红波,小,单,2026-08-16 03:24:00,龙,龙,牛,猪,鸡,狗
20260816070,20,29,39,16,32,18,34,鸡,红波,大,双,2026-08-16 03:27:00,猪,虎,龙,兔,猪,牛
20260816071,38,46,2,41,5,25,42,牛,蓝波,大,双,2026-08-16 03:30:00,蛇,鸡,蛇,虎,虎,马
20260816072,3,2,16,41,12,47,38,蛇,绿波,大,双,2026-08-16 03:33:00,龙,蛇,兔,虎,羊,猴
20260816073,47,12,44,30,49,41,46,鸡,红波,大,双,2026-08-16 03:36:00,猴,羊,猪,牛,马,虎
20260816074,27,33,40,39,17,6,30,牛,红波,大,双,2026-08-16 03:39:00,龙,狗,兔,龙,虎,牛
20260816075,4,19,30,39,16,45,5,虎,绿波,小,单,2026-08-16 03:42:00,兔,鼠,牛,龙,兔,狗
20260816076,4,28,23,48,36,45,44,猪,绿波,大,双,2026-08-16 03:45:00,兔,兔,猴,羊,羊,狗
20260816077,1,25,7,12,32,37,35,猴,红波,大,单,2026-08-16 03:48:00,马,马,鼠,羊,猪,马
20260816078,21,13,11,14,44,9,32,猪,绿波,大,双,2026-08-16 03:51:00,狗,马,猴,蛇,猪,狗
20260816079,38,46,27,22,44,25,47,猴,蓝波,大,单,2026-08-16 03:54:00,蛇,鸡,龙,鸡,猪,马
20260816080,9,48,25,7,29,24,14,蛇,蓝波,小,双,2026-08-16 03:57:00,狗,羊,马,鼠,虎,羊
20260816081,42,36,2,27,35,25,29,虎,红波,大,单,2026-08-16 04:00:00,牛,羊,蛇,龙,猴,马
20260816082,21,46,30,48,8,26,29,虎,红波,大,单,2026-08-16 04:03:00,狗,鸡,牛,羊,猪,蛇
20260816083,44,4,25,28,33,16,21,狗,绿波,小,单,2026-08-16 04:06:00,猪,兔,马,兔,狗,兔
20260816084,36,33,39,1,10,7,17,虎,绿波,小,单,2026-08-16 04:09:00,羊,狗,龙,马,鸡,鼠
20260816085,2,20,19,27,44,38,4,兔,蓝波,小,双,2026-08-16 04:12:00,蛇,猪,鼠,龙,猪,蛇
20260816086,1,47,39,3,20,36,41,虎,蓝波,大,单,2026-08-16 04:15:00,马,猴,龙,龙,猪,羊
20260816087,16,12,18,30,35,48,5,虎,绿波,小,单,2026-08-16 04:18:00,兔,羊,牛,牛,猴,羊
20260816088,25,14,12,33,31,29,26,蛇,蓝波,大,双,2026-08-16 04:21:00,马,蛇,羊,狗,鼠,虎
